Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleImageFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.67282883446191,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.67282883446191,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,GreenNeck,21,65266.26,354653,339001.92,-1.69266463609536,4.67282883446191,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,HeadCrest,49,15651.08,354653,339001.92,-3.12059992246667,4.67282883446191,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,BrownWingBrownBody,37,117666.78,354653,339001.92,-1.10328311521892,4.67282883446191,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.67282883446191,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,Leg,56,61304.72,354653,339001.92,-1.75528300830982,6.49072353450251,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,WhiteChest,78,59191.14,354653,339001.92,-1.79036797812915,6.49072353450251,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,GreenNeck,81,65266.26,354653,339001.92,-1.69266463609536,6.49072353450251,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,6.49072353450251,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,BrownWingBrownBody,386,117666.78,354653,339001.92,-1.10328311521892,6.49072353450251,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,BrownTail,58,35573.02,354653,339001.92,-2.29955236129199,6.49072353450251,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,Leg,6,61304.72,354653,339001.92,-1.75528300830982,6.5510803350434,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,WhiteChest,30,59191.14,354653,339001.92,-1.79036797812915,6.5510803350434,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,GreenNeck,36,65266.26,354653,339001.92,-1.69266463609536,6.5510803350434,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,6.5510803350434,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,BrownWingBrownBody,628,117666.78,354653,339001.92,-1.10328311521892,6.5510803350434,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,6.5510803350434,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,Leg,31,61304.72,354653,339001.92,-1.75528300830982,4.77912349311153,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,WhiteChest,55,59191.14,354653,339001.92,-1.79036797812915,4.77912349311153,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,GreenNeck,33,65266.26,354653,339001.92,-1.69266463609536,4.77912349311153,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,4.77912349311153,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,4.77912349311153,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.77912349311153,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,Leg,45,61304.72,354653,339001.92,-1.75528300830982,5.75574221358691,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,WhiteChest,55,59191.14,354653,339001.92,-1.79036797812915,5.75574221358691,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,GreenNeck,21,65266.26,354653,339001.92,-1.69266463609536,5.75574221358691,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,HeadCrest,20,15651.08,354653,339001.92,-3.12059992246667,5.75574221358691,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,BrownWingBrownBody,119,117666.78,354653,339001.92,-1.10328311521892,5.75574221358691,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,BrownTail,56,35573.02,354653,339001.92,-2.29955236129199,5.75574221358691,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,GreenNeck,35,65266.26,354653,339001.92,-1.69266463609536,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,BrownWingBrownBody,36,117666.78,354653,339001.92,-1.10328311521892,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.26267987704132,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,BrownWingBrownBody,10,117666.78,354653,339001.92,-1.10328311521892,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,2.30258509299405,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,HeadCrest,6,15651.08,354653,339001.92,-3.12059992246667,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,BrownWingBrownBody,66,117666.78,354653,339001.92,-1.10328311521892,4.27666611901606,53,Directed
