Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,DenseFeathers,0,25956.24,1454589.9,1453677.98,-4.02606724107353,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,LowerEyeSpots,563,354602.75,1454589.9,1453677.98,-1.41148113537953,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,UpperEyeSpots,12,619179.94,1454589.9,1453677.98,-0.854083359096807,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,LowerFishtail,0,129350.24,1454589.9,1453677.98,-2.4199555201454,6.55250788703459,53,Directed
04-08-13_No61_102541,4040,3014,701,0,107,0,2206,1026,61,L,Leg,126,13503.73,1454589.9,1453677.98,-4.67951334062883,6.55250788703459,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,Body,93,6684.77,1454589.9,1453677.98,-5.38264747962988,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,DenseFeathers,55,25956.24,1454589.9,1453677.98,-4.02606724107353,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,LowerEyeSpots,399,354602.75,1454589.9,1453677.98,-1.41148113537953,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,UpperEyeSpots,251,619179.94,1454589.9,1453677.98,-0.854083359096807,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,LowerFishtail,122,129350.24,1454589.9,1453677.98,-2.4199555201454,6.97914527506881,53,Directed
04-08-13_No61_123521,5584,4475,1074,0,659,0,2742,1109,61,L,Leg,154,13503.73,1454589.9,1453677.98,-4.67951334062883,6.97914527506881,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,Body,66,6684.77,1454589.9,1453677.98,-5.38264747962988,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,Scales,6,4049.94,1454589.9,1453677.98,-5.88377721801282,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,DenseFeathers,131,25956.24,1454589.9,1453677.98,-4.02606724107353,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,LowerEyeSpots,1103,354602.75,1454589.9,1453677.98,-1.41148113537953,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,UpperEyeSpots,68,619179.94,1454589.9,1453677.98,-0.854083359096807,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,UpperFishtail,69,300350.37,1454589.9,1453677.98,-1.57752959101518,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,LowerFishtail,192,129350.24,1454589.9,1453677.98,-2.4199555201454,7.4121603349452,53,Directed
04-08-13_No61_130828,6607,5139,1656,8,700,116,2659,1468,61,L,Leg,21,13503.73,1454589.9,1453677.98,-4.67951334062883,7.4121603349452,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,DenseFeathers,32,25956.24,1454589.9,1453677.98,-4.02606724107353,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,LowerEyeSpots,175,354602.75,1454589.9,1453677.98,-1.41148113537953,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.5683445037611,53,Directed
