"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-11.8053308884848,-0.339792791475182,5.77953262126768,11.8383837514965,23.4071106465242
"DenseFeathers",-3.29341688565142,-1.44782659588409,-0.540116130724688,0.322404368005969,1.92325766066699
"Leg",-4.91484741449875,-3.18669708581413,-2.28409754434806,-1.28554942233258,0.366990545671232
"LongFeathers",-7.27508074280995,-5.16398314333875,-4.16553946178172,-3.21440988219827,-1.45578755287813
"LowerEyeSpots",-0.655512621440971,1.03736632535691,1.82099373903446,2.67853286968217,4.26918271595345
"LowerFishtails",-0.569023618196305,1.13857558059582,2.04182798319764,2.81211470638208,4.51960958801478
"UpperEyeSpots",-4.38207458262416,-2.80618501525699,-1.96259849654736,-1.08678011937037,0.665366430544235
"UpperFishtails",-4.33837656141803,-2.82409477648788,-1.90456519964075,-1.04990689284301,0.540008806708346
"WhitePuff",-4.25864912761647,-2.43993853422826,-1.42594019937555,-0.52975049736618,1.04647990501513
"Wing",0.259913469300136,1.83580646240143,2.61786412858156,3.47753563766576,5.29409501597614
"Mean",-8.88734212580075,-6.73226952759242,-5.64231593696083,-4.54355544574194,-2.45914233857058
"female std",1.84307054632128,2.73706361561174,3.13705140543937,3.52036706356988,3.93579671261308
"male std",1.87134671453627,2.79385854083136,3.31596598108963,3.67504710707822,3.96769101517113
"disp std",2.66328980231295,3.00301529914018,3.21021966767593,3.4277580415803,3.88316733920898
