"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-11.0950400367998,-0.202023599955022,5.73906894113022,12.040452909106,23.8913806780768
"DenseFeathers",-3.32313748133256,-1.5157331099706,-0.589315648772854,0.319080071264342,1.96890949573454
"Leg",-4.86631143681291,-2.87851162528289,-1.90376734815987,-0.899659659957959,0.709545680386141
"LongFeathers",-7.21513304517576,-5.25612138734239,-4.20405720845318,-3.22512375946882,-1.37792537657061
"LowerEyeSpots",-0.860769882274226,0.883158503825658,1.70933979792549,2.60257531741135,4.20861415864107
"LowerFishtails",-0.661768268584782,0.761279775388692,1.69160917257774,2.70149311219322,4.33876056204366
"UpperEyeSpots",-4.57865517070894,-2.78925963037978,-1.92343279050971,-1.098128397838,0.465065891309568
"UpperFishtails",-4.55828375433573,-2.82464394221329,-1.88888193574955,-0.978061311106168,0.654125884249295
"WhitePuff",-4.08379074406181,-2.27081583304782,-1.33300060113187,-0.365918258733447,1.28595443089975
"Wing",-0.0579556217905846,1.82944592747089,2.64908363015766,3.48708119323362,4.96456508593141
"Mean",-8.63981051386486,-6.71864191357937,-5.82950920239992,-4.83623434380942,-2.94202528381012
"male std",1.08525437354343,2.24064037045608,2.87598184173436,3.43796666703241,3.91804012239829
"disp std",3.23321225351967,3.5795167364991,3.76241973704851,3.88692378952932,3.98966045953353
