"","2.5%","25%","50%","75%","97.5%"
"DenseFeathers",-1.19365474020101,0.153358066141473,0.767996895965377,1.44863009974372,2.60869925593116
"Leg",-4.21705067943246,-2.59325610302415,-1.73513471294503,-0.886918801436431,0.446078447254661
"LongFeathers",-6.23606074508317,-4.53159209107252,-3.75832007924119,-2.96133185023775,-1.44080778999054
"LowerEyeSpots",1.1407320142349,2.21288515670633,2.79349670885658,3.43188346956716,4.57451528107451
"LowerFishtails",1.07374909198767,2.14331208075878,2.69282777283077,3.31883921302161,4.50626676997494
"UpperEyeSpots",-3.11841992176376,-1.87731826597535,-1.29344671922274,-0.642784442457651,0.548767646765663
"UpperFishtails",-2.8226506418931,-1.564089359957,-0.914427769807294,-0.319068647977658,0.883957090278417
"WhitePuff",-4.28754138451933,-2.63853690706157,-1.781980186062,-1.02552205502565,0.364444347525131
"Wing",1.65495604016901,2.72154731738939,3.2848791393283,3.8661394703677,5.06700964709029
"Mean",-7.68636154659333,-6.31977206669707,-5.83322701214622,-5.25146174911442,-3.69327361821977
"male std",0.337253815411766,1.34134026167593,2.016093972264,2.72495808394338,3.7998949162965
"disp std",3.06403291053018,3.45873949912242,3.65786232861063,3.82556689925511,3.98125847464589
