"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-10.6149053222782,0.603174858258719,7.13525600405648,13.2190823614186,24.1872437933466
"DenseFeathers",-6.07816533787627,-3.20224571925527,-1.69432996890002,-0.211371018003201,2.67865720583124
"Leg",-6.47358028272734,-3.02686661993148,-1.41054875749887,0.0295005986222268,2.67105381644036
"LongFeathers",-7.3562694640685,-4.6245675839474,-3.20535890768654,-1.69317078313048,0.818024395225176
"LowerEyeSpots",-1.97901175157455,0.216814918254373,1.45260170928931,2.6633737700552,4.93814806230177
"LowerFishtails",-1.33940736815581,0.781832645498002,1.95302135868648,3.21095868183549,5.56259209061592
"UpperEyeSpots",-7.35603944533047,-4.65275118862434,-3.25854966345317,-1.88744424581981,0.462498645806373
"UpperFishtails",-6.59585771412397,-3.84168116823398,-2.50042141087151,-1.25658799175508,1.28055855442935
"WhitePuff",-3.15506247610015,-0.692293510708296,0.665497950469543,1.95866129060234,4.36110262707365
"Wing",-2.48989108604123,0.126654405853618,1.31317814182042,2.56363287893655,4.988197162616
"Mean",-9.64948705448085,-7.35574159062916,-6.28644042201478,-4.9271449215576,-2.38720011219025
"female std",1.5619043074503,2.6508405229029,3.181676440683,3.60226481408451,3.95700357070892
"male std",0.150985157732993,1.32035381880852,2.34519429729714,3.25037269047287,3.92171914673469
"disp std",2.97412307203758,3.46510798048182,3.69868341364502,3.86768399191851,3.98816223278487
