"","2.5%","25%","50%","75%","97.5%"
"DenseFeathers",-1.35503821255682,0.254514803398207,1.00823974184146,1.73892019407548,3.09785569020102
"Leg",-4.19485572533339,-2.32612474974969,-1.3365587004023,-0.458285817879265,1.04428534748607
"LongFeathers",-6.92095770888266,-5.11558404057876,-4.17678322013443,-3.25387960282909,-1.72393983455098
"LowerEyeSpots",1.28420345390915,2.63799613216631,3.24529373909709,3.88049660581574,5.2020525501809
"LowerFishtails",1.30201851847738,2.54295633701812,3.16756058482871,3.80848090310379,5.15422783129088
"UpperEyeSpots",-3.65597279016689,-2.31969703302643,-1.61870867599489,-0.862854778940978,0.656523981048724
"UpperFishtails",-4.75939125032276,-3.11939997004889,-2.32490636868241,-1.62200232035468,-0.12175584094452
"WhitePuff",-3.87193295381113,-2.25311479334929,-1.40862176129691,-0.553665421880187,1.08123668993235
"Wing",1.71460461582537,2.94333580038072,3.53417854313333,4.21953038992133,5.46145136551518
"Mean",-8.85164310346107,-7.21269940229736,-6.39963284654706,-5.57401854837324,-3.81372457697337
"female std",1.32481255041507,2.12600472255153,2.63376837208728,3.2148778674751,3.87983943504791
"male std",0.200868996323097,1.17554221113403,1.82837136172414,2.69522374678153,3.83522261838742
"disp std",2.75058160337684,3.1974946963345,3.45954970680178,3.69890568854537,3.96566286029095
