"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-11.2154279162022,-0.107519459495449,6.08045527822628,12.0176812710758,23.7456488431968
"DenseFeathers",-5.50279801069428,-2.97692927198937,-1.81665650439324,-0.61251510117819,1.4376661239844
"Leg",-5.90849368634597,-3.04767483480387,-1.75346346112631,-0.579772568703197,1.89543975036042
"LongFeathers",-7.49464574714061,-4.93555533463702,-3.75973683866307,-2.55823770787094,-0.600509989387329
"LowerEyeSpots",-0.606136905093458,1.13599106326935,2.12257169158746,3.09604477101045,5.15733061786627
"LowerFishtails",0.635646083860234,2.50537797734916,3.43666053568268,4.37621482025059,6.21928790165908
"UpperEyeSpots",-5.10811150840171,-3.23939934991099,-2.14475511890493,-1.11387837656519,0.624669636694998
"UpperFishtails",-4.04486583760979,-2.08236167799054,-1.08642955088947,-0.0847757633895665,1.90505294262722
"WhitePuff",-4.96463557652524,-2.81880824172481,-1.64578627300214,-0.359407159262311,1.63937346890107
"Wing",-2.28230734655374,-0.304469236966297,0.725064482276622,1.67524192185106,3.61457829962067
"Mean",-9.754619623314,-7.34880864011938,-6.28356130022573,-5.10791702164245,-3.03672952429942
"female std",2.41012715160383,3.21509603082232,3.53159752778013,3.77621370730918,3.97761336902524
"male std",1.61035105233132,2.51981991957032,3.07038945811041,3.54132657553465,3.95021145705766
"disp std",2.7405983646109,3.22255645328307,3.47959353829117,3.71425482042889,3.95726866838352
