"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-1.61307032113225,-0.520086277842419,-0.00148486561547956,0.509689180246683,1.43975259519894
"BrownWingBrownBody",-0.522056267598839,0.431929730839906,0.957680819462394,1.43486245184731,2.38248506743737
"GreenNeck",-2.02988277794194,-1.06081895996902,-0.561661147118632,-0.059110721423015,0.984189485190828
"HeadCrest",-2.28704021825238,-1.15541596896568,-0.561589514403094,-0.0585329424586861,0.904055915405222
"Leg",-1.44378932412032,-0.48830118446923,-0.00451366555205979,0.532633786296113,1.47284360953394
"WhiteChest",-1.22466167963815,-0.244894685478203,0.221446972662522,0.672281148302767,1.59241607250154
"Mean",-3.51507118734901,-2.51086592059601,-2.1059017701598,-1.75787037891088,-0.68902787761263
"female std",0.0301613729395755,0.292250199491493,0.595099628498366,0.995298279430751,2.08434834129476
"male std",0.0244668096024832,0.247675181587507,0.522455465697091,1.00455822380842,2.76706384540097
"disp std",1.68317579458222,1.97630874791471,2.19341376524479,2.45537507360555,3.09075984167991
