"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-1.65258003364726,-0.74348435330818,-0.26118403928398,0.236209464583059,1.1614999981926
"BrownWingBrownBody",-0.367398306754865,0.514553772235419,1.01136807521032,1.47041128225381,2.36101970298318
"GreenNeck",-2.01034254878898,-1.03637732871426,-0.539883582934416,-0.0663795603578717,0.96295227147166
"HeadCrest",-2.17380745603552,-1.06654101462201,-0.546904558491193,0.0321763962246898,1.08372624436902
"Leg",-1.50990336710508,-0.515614462093469,-0.0066663181929304,0.497679819412274,1.53537209939465
"WhiteChest",-1.21571729130975,-0.198992745009977,0.355034816787706,0.811273437209185,1.9874061707695
"Mean",-3.82885848631078,-2.51947912459335,-2.11481838362599,-1.73151951055867,-0.583737461553051
"female std",0.0238013981971917,0.350080262070388,0.677181566809786,1.07980195957595,2.17372218531209
"male std",0.0174362711196792,0.240369525202773,0.531282140232496,1.04167828434738,3.06675583451429
"disp std",1.63234729587501,1.95532262655054,2.17319556551802,2.39633390962855,3.0397042546083
