"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-1.80684001833908,-0.732770632123473,-0.237182233990411,0.257945503654861,1.3791221303653
"BrownWingBrownBody",-0.433212732332261,0.517256498198109,1.00656180544239,1.49950006794478,2.56404575014898
"GreenNeck",-2.10636835770376,-1.03819628992883,-0.539268940258607,-0.0401064399614418,0.967289640502828
"HeadCrest",-2.04829427124239,-1.01238744792607,-0.473391544345744,0.0234287546627782,0.950327908517562
"Leg",-1.3628481339665,-0.475492985038363,0.0186135740129257,0.487000144844211,1.320941333259
"WhiteChest",-1.1019728004702,-0.220981175987792,0.259764827341487,0.7624605327761,1.67069301890268
"Mean",-3.64189170577565,-2.51640062893685,-2.10643270353821,-1.76679727060133,-0.806873664718725
"female std",0.0296835515609649,0.344816025500843,0.694380132905313,1.09464689812683,2.07415894175211
"male std",0.02581829266947,0.247825806737775,0.545491467343054,1.09682566628168,2.80287244941768
"disp std",1.5848919868669,1.95590506544501,2.1694726272896,2.44615055241934,2.99764586905078
