"","2.5%","25%","50%","75%","97.5%"
"Body",0.840869729333646,1.39977894495164,1.6969278519673,1.9864004601149,2.50744845712639
"DenseFeathers",0.708792243402384,1.25422120159882,1.57143662738447,1.88546411084012,2.42408681762601
"HeadCrest",-0.571083278144365,0.114373793712114,0.473512727655707,0.783875125508094,1.36286330411166
"Leg",0.372264543889636,0.924892872194829,1.21297334458447,1.5278083074525,2.04717716606211
"LowerEyeSpots",0.268178623807947,0.786275056629316,1.05526441833803,1.33572418002925,1.94579870897139
"LowerFishtail",0.200962145000852,0.785075226385424,1.09228253620813,1.40003292376513,1.88071625456551
"Scales",-2.10616358244537,-1.44514877186873,-1.10668070612462,-0.75981070163959,-0.187901181577967
"UpperEyeSpots",-3.10164070668595,-2.56795678472712,-2.27520842756072,-1.95222244335695,-1.33475153916154
"UpperFishtail",-4.68312136602817,-3.9955895580811,-3.69975983838313,-3.39745126180619,-2.84666159813155
"Mean",-2.41944396116248,-1.8220237998194,-1.59446578521524,-1.39857156322992,-0.945592558496123
"female std",0.0207917554095872,0.156476552357029,0.307596730500167,0.472400664786831,0.878772206384631
"male std",0.0362972523602176,0.273369614038865,0.512196014125888,0.801451679629502,1.65514380283522
"disp std",1.70157365737822,1.88674765461614,1.99217128897856,2.09422786614452,2.31844025208021
