"","2.5%","25%","50%","75%","97.5%"
"Body",0.831320957062726,1.42764240303934,1.70469094933248,2.00502403758933,2.54879423512176
"DenseFeathers",0.799861777896305,1.28915773863539,1.56657220784344,1.87061602445768,2.48636184978763
"HeadCrest",-0.546365204289803,0.130816631254432,0.431097151849615,0.731957330423983,1.37196643962791
"Leg",0.377108801373845,0.924003367710091,1.2134714140927,1.51951299089758,2.10534470838662
"LowerEyeSpots",0.175637313236796,0.775881162468831,1.04889980586484,1.32868758581858,1.9062856145498
"LowerFishtail",0.216580028535766,0.765927070423284,1.07996010374396,1.38080096306362,1.9967195595461
"Scales",-2.12878600655117,-1.43757924750354,-1.11550685555213,-0.768626482745369,-0.157170049023237
"UpperEyeSpots",-3.20525915192232,-2.55370183607192,-2.26891509334155,-1.9809950841045,-1.40987918636665
"UpperFishtail",-4.56501407740111,-3.99694280842577,-3.69555476418586,-3.37509186961093,-2.8298881984656
"Mean",-2.44045521235198,-1.79668567754925,-1.58121352035243,-1.39704096384779,-1.04786285210133
"male std",0.0654448364986877,0.323103682427215,0.546248836286065,0.825558155253119,1.72136277783444
"disp std",1.72026625688081,1.89167539805678,1.98202660010806,2.09032756720208,2.29971204145781
