"","2.5%","25%","50%","75%","97.5%"
"Body",0.300458434353704,1.03670404445526,1.38707008020077,1.7551444495512,2.50173012199285
"DenseFeathers",0.763864006451125,1.38743987510943,1.72307276474253,2.07964228216027,2.88005564321827
"HeadCrest",-0.290477075611547,0.50119563967753,0.894354928816539,1.34259272776487,2.05339958549936
"Leg",0.128272483426585,0.874140006711254,1.25714032685087,1.64035699696256,2.4013031059034
"LowerEyeSpots",-0.0237689710404464,0.702558656482998,1.05735415112488,1.43154075853787,2.12466793237897
"LowerFishtail",0.0764837960738842,0.762354931886303,1.10658137000248,1.46612248907197,2.18715001129834
"Scales",-2.42445335669275,-1.52658329699945,-1.14599094008853,-0.745104520479872,0.00477095157283127
"UpperEyeSpots",-3.58335786982623,-2.91379082049554,-2.5426122860837,-2.17207532713297,-1.53953208416638
"UpperFishtail",-4.87464558235065,-4.14193359115225,-3.77215887113249,-3.37887265744583,-2.65911197401748
"Mean",-2.60541116225544,-1.87164324004053,-1.61448119913367,-1.38009744256981,-0.765678527423952
"male std",0.0718144046985156,0.389937820663547,0.647643840690324,1.00922736801914,2.12244467705268
"disp std",1.75607066163479,1.95307253000643,2.07436653278418,2.20456590901912,2.50788533199246
