"","2.5%","25%","50%","75%","97.5%"
"Body",-0.199120629728484,0.868778986235645,1.37338759507312,1.93469002039664,2.94453827443913
"DenseFeathers",0.0386510377455035,1.07320879130028,1.57618358588989,2.06539250673345,3.16821352747474
"HeadCrest",-5.2230225114381,-3.26521234800991,-2.32462430165546,-1.4882100846596,0.0835906039022639
"Leg",-0.18750545865158,0.730184178247202,1.32378591298168,1.79814395190161,2.90285458537349
"LowerEyeSpots",1.01943931377421,1.96058355998426,2.43109381250535,2.92765336921438,3.87457792909281
"LowerFishtail",0.535584141393669,1.50635881054561,2.02558539747267,2.51439243140175,3.6303409847126
"Scales",-1.28991277059889,-0.131772384108555,0.439494221141994,1.07290132229937,2.14556060062019
"UpperEyeSpots",-3.16691307417907,-2.23335219765938,-1.70952622631579,-1.18734918208981,-0.23067032062407
"UpperFishtail",-6.92262079038072,-5.74995837528101,-5.07397921931907,-4.45561793309202,-3.21422699489832
"Mean",-4.8377615192241,-4.00603485283293,-3.53056092964649,-3.13225220511399,-2.3427289867018
"female std",0.0419793845020196,0.332690213545332,0.631624618165963,1.02987800797778,1.98761603110153
"male std",0.246899455983543,0.79252662718013,1.13257700144654,1.5918897884444,2.93974942143539
"disp std",2.97170314636458,3.32524999659886,3.51682912697245,3.71075857485791,3.95410149817985
