"","2.5%","25%","50%","75%","97.5%"
"Body",-0.27883436008303,0.79745306370994,1.35054263942809,1.98617872912002,3.04579990255175
"DenseFeathers",0.0840658926553805,1.05304124590362,1.5625729966866,2.04572985595344,3.0331635829619
"HeadCrest",-4.993968500213,-3.20717437151032,-2.28692040009108,-1.40613824069106,0.110759251452066
"Leg",-0.341120600914494,0.704521561255281,1.23005762691487,1.79009320757009,2.85918730767194
"LowerEyeSpots",0.952407733488966,1.88249978778091,2.37828843879731,2.90629757544552,3.92901970219068
"LowerFishtail",0.594102229753381,1.52559530451011,2.04493322637952,2.46511163033607,3.50382817044348
"Scales",-1.25700886090905,-0.0528575793498158,0.535362476654894,1.08639245505984,2.19116732780719
"UpperEyeSpots",-3.240279513481,-2.22582603880291,-1.71451458592632,-1.2293497701456,-0.241518717676214
"UpperFishtail",-6.89756777113101,-5.5934956051466,-5.00684148662111,-4.39735729718319,-3.26426325069361
"Mean",-5.13722540211261,-4.07164126439856,-3.59666533821097,-3.1872236070498,-2.38415232423278
"male std",0.356808621643925,0.912273106940615,1.28236363001148,1.73346335939464,3.09034970119138
"disp std",3.00284471953356,3.33306436841444,3.52578095859638,3.72274526835898,3.94484714909998
