"","2.5%","25%","50%","75%","97.5%"
"Body",-0.172170893888542,0.796092390836139,1.36435568307887,1.89581844599092,2.94909124052329
"DenseFeathers",0.266740758655987,1.28135758596389,1.76502770744128,2.27079161104791,3.32905926929578
"HeadCrest",-4.81213169647425,-2.9396603458118,-2.01434053140658,-1.23866108067042,0.174591214169423
"Leg",-0.8428736359816,0.276981161259739,0.806441262447614,1.35816451941311,2.43933345965561
"LowerEyeSpots",1.37009995888892,2.35651993193852,2.86607905989251,3.39261910327233,4.46259548758052
"LowerFishtail",0.401728353796887,1.33544291169898,1.88169290423296,2.3890839778348,3.39824770036918
"Scales",-0.991926530767108,0.330060516563209,0.902978274840636,1.45362352589647,2.51919479321379
"UpperEyeSpots",-3.77437877420488,-2.69105611523127,-2.14354371020705,-1.6231542328439,-0.490048304888332
"UpperFishtail",-7.42376316264146,-6.00314647381928,-5.2621391288739,-4.66581840374591,-3.46070498755511
"Mean",-4.64511754268973,-3.53727319439616,-3.10037380837814,-2.68351510830997,-1.81169615011947
"female std",0.0260609608606381,0.254904431772179,0.559977239706361,0.880034398411837,1.85622351024589
"male std",0.256764630189841,0.803679247817049,1.12835275037998,1.53605080445835,2.99247429833803
"disp std",2.71596069813314,3.05410176330963,3.24815285934605,3.46760284085822,3.88347981685311
