"","2.5%","25%","50%","75%","97.5%"
"Body",0.552980733911863,3.03955010553827,4.27906341947415,5.56628700218218,8.06324678189737
"DenseFeathers",-3.83235700276056,-0.710513719071945,0.621149512097907,2.0480349384959,4.65857046343761
"HeadCrest",-16.1660635645646,-8.01391749018774,-3.9683149446852,-1.08267764881396,2.85715923369187
"Leg",-0.114046357330996,2.34382117483737,3.76070925489814,4.99929581105884,7.31825148809766
"LowerEyeSpots",-3.38064189913639,-0.927572957091886,0.275621404821028,1.62156525147872,4.20295086822661
"LowerFishtail",-0.689136100292458,1.69671132530668,2.87057357708229,4.11430651009106,6.5509730288839
"Scales",-20.0731418172841,-10.4456854828423,-6.10689460853032,-2.92634087560892,1.47045616103661
"UpperEyeSpots",-1.69964217544741,0.611086222749593,1.81474082759051,3.00124510336908,5.35691091857135
"UpperFishtail",-6.13060478705784,-3.1796329980459,-1.89182084045503,-0.453226114188217,2.35534148912987
"Mean",-8.67927336768133,-6.78335455446098,-5.83692554181671,-4.8959449427728,-2.92482666427042
"female std",0.047456884939336,0.432666943046576,0.961776885858149,1.68710850959973,3.4010004244328
"male std",0.0452769001549073,0.504161246113659,1.1607176891853,2.10060939481259,3.6755017320794
"disp std",3.34988889668628,3.75065677930323,3.86099587128648,3.94418737172816,3.99330843381192
